Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39
MA0101202307A0025007,세븐일레븐대림88,타워점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560710,대림2동,1156013300,대림동,1156013300107060001,1,대지,706,1,서울특별시 영등포구 대림동 706-1,115603116010,서울특별시 영등포구 도림로,144,,1156013300107060001002452,월드타워,서울특별시 영등포구 도림로 144,150907,07417,,,,126.898058747209,37.4933595370452
MA0101202307A0048275,세븐일레븐영등포아크로,타워점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560535,영등포동,1156010800,영등포동7가,1156010800102030000,1,대지,203,,서울특별시 영등포구 영등포동7가 203,115604154084,서울특별시 영등포구 국회대로54길,10,,1156010800101450008032817,아크로타워스퀘어,서울특별시 영등포구 국회대로54길 10,150030,07246,상가6,,,126.906445470526,37.5235771575847
MA0101202308A0036095,지에스25영등포도림,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560585,도림동,1156011800,도림동,1156011800102260001,1,대지,226,1,서울특별시 영등포구 도림동 226-1,115604154306,서울특별시 영등포구 도신로15길,40,,1156011800102260001000001,도림빌딩,서울특별시 영등포구 도신로15길 40,150832,07374,,,,126.896567675369,37.5086122656725
MA0101202308A0065559,지에스25문래,신안점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560605,문래동,1156012200,문래동4가,1156012200100670000,1,대지,67,,서울특별시 영등포구 문래동4가 67,115604154052,서울특별시 영등포구 경인로77길,49,,1156012200100670000000001,리버뷰신안인스빌,서울특별시 영등포구 경인로77길 49,150919,07287,109,,,126.888935975565,37.514407801863
MA0101202406A0246368,지에스25우신초교점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560660,신길4동,1156013200,신길동,1156013200101580041,1,대지,158,41,서울특별시 영등포구 신길동 158-41,115604154335,서울특별시 영등포구 도신로48길,9,2,1156013200101580041011929,,서울특별시 영등포구 도신로48길 9-2,150844,07348,,1,,126.913259764487,37.5102114701567
MA0101202406A0585308,씨유한강르네상스양화,2호점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560560,당산2동,1156011700,당산동,1156011700100300003,1,대지,30,3,서울특별시 영등포구 당산동 30-3,115603118026,서울특별시 영등포구 노들로,147,,1156011700100320002000001,,서울특별시 영등포구 노들로 147,150040,07200,,,,126.896249248679,37.5425437153103
MA0101202406A0593531,씨유대림차이나타운,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560710,대림2동,1156013300,대림동,1156013300110480008,1,대지,1048,8,서울특별시 영등포구 대림동 1048-8,115604154297,서울특별시 영등포구 도림천로11길,25,,1156013300110480008000001,,서울특별시 영등포구 도림천로11길 25,150825,07419,,1,,126.897958753103,37.4920529907621
MA0101202406A0159928,이마트24문래,에이스점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560605,문래동,1156012400,문래동6가,1156012400100240001,1,대지,24,1,서울특별시 영등포구 문래동6가 24-1,115604154433,서울특별시 영등포구 선유로13길,25,,1156012400100240001023258,에이스하이테크시티,서울특별시 영등포구 선유로13길 25,150096,07282,,,,126.886282229693,37.5189823725636
MA0101202406A0280180,씨유영등포샤인점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560550,당산1동,1156011100,당산동1가,1156011100102560058,1,대지,256,58,서울특별시 영등포구 당산동1가 256-58,115603118004,서울특별시 영등포구 당산로,82,,1156011100102560058029518,,서울특별시 영등포구 당산로 82,150800,07266,,,,126.89600628181,37.5219466231158
MA0101202406A0020985,지에스25S신풍역점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560680,신길6동,1156013200,신길동,1156013200135990000,1,대지,3599,,서울특별시 영등포구 신길동 3599,115603118015,서울특별시 영등포구 신풍로,27,,1156013200135760001000001,신풍역,서울특별시 영등포구 신풍로 27,150858,07393,,,,126.909844822094,37.5001176565953
MA0101202406A0174841,세븐일레븐양평,행운점,G2,소매,G204,종합 소매,G20405,편의점,G46103,섬유; 의복; 신발 및 가죽제품 중개업,11,서울특별시,11560,영등포구,11560610,양평1동,1156012600,양평동2가,1156012600100190004,1,대지,19,4,서울특별시 영등포구 양평동2가 19-4,115604154466,서울특별시 영등포구 선유서로21길,14,,1156012600100190004022143,양평동오피스텔,서울특별시 영등포구 선유서로21길 14,150102,07278,,1,,126.883866950587,37.5227642327422
MA0101202406A0083007,지에스25S9샛강역점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100050006,1,대지,5,6,서울특별시 영등포구 여의도동 5-6,115602118002,서울특별시 영등포구 의사당대로,166,,1156011000100050006000001,9호선샛강역샛강역,서울특별시 영등포구 의사당대로 166,150913,07324,,,,126.929077081951,37.516628163941
MA0101202406A0103682,세븐일레븐롯데뉴스테이,문래점,G2,소매,G204,종합 소매,G20405,편의점,G46103,섬유; 의복; 신발 및 가죽제품 중개업,11,서울특별시,11560,영등포구,11560605,문래동,1156012400,문래동6가,1156012400100570000,1,대지,57,,서울특별시 영등포구 문래동6가 57,115604154461,서울특별시 영등포구 선유로9길,30,,1156012400100210000000005,문래롯데캐슬,서울특별시 영등포구 선유로9길 30,150096,07282,,1,,126.884869140204,37.5184043618056
MA0101202406A0291483,세븐일레븐S여의나루역점,,G2,소매,G204,종합 소매,G20405,편의점,G46103,섬유; 의복; 신발 및 가죽제품 중개업,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100840004,1,대지,84,4,서울특별시 영등포구 여의도동 84-4,115603118020,서울특별시 영등포구 여의동로,343,,1156011000100080000031184,5호선여의나루역,서울특별시 영등포구 여의동로 343,150010,07336,,,,126.932868369841,37.5270820100231
MA0101202311A0038843,팝25영등포,본점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560550,당산1동,1156011100,당산동1가,1156011100100090001,1,대지,9,1,서울특별시 영등포구 당산동1가 9-1,115604154708,서울특별시 영등포구 영등포로28길,5,,1156011100100090001037314,코오롱,서울특별시 영등포구 영등포로28길 5,150800,07292,,1,,126.899255540199,37.5199852537917
MA0101202311A0037834,세븐일레븐문래SK점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560605,문래동,1156012400,문래동6가,1156012400100190000,1,대지,19,,서울특별시 영등포구 문래동6가 19,115604154461,서울특별시 영등포구 선유로9길,10,,1156012400100190000022459,문래SK,서울특별시 영등포구 선유로9길 10,150096,07281,,1,,126.887200330361,37.5177578890483
MA0101202311A0101072,쿠진,,G2,소매,G204,종합 소매,G20405,편의점,I56111,한식 일반 음식점업,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300107750007,1,대지,775,7,서울특별시 영등포구 대림동 775-7,115603118027,서울특별시 영등포구 대림로,209,,1156013300107750007001038,,서울특별시 영등포구 대림로 209,150816,07412,,1,,126.897734053044,37.4992788679029
MA0101202311A0103296,세븐일레븐양평이엔씨,타워점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560610,양평1동,1156012700,양평동3가,1156012700100460000,1,대지,46,,서울특별시 영등포구 양평동3가 46,115603005074,서울특별시 영등포구 선유로,146,,1156012700100480000000001,이앤씨드림타워,서울특별시 영등포구 선유로 146,150103,07255,,1,,126.891836283175,37.5268533386256
MA010120220807051158,이마트24영등포공원점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560515,영등포본동,1156010100,영등포동,1156010100106180011,1,대지,618,11,서울특별시 영등포구 영등포동 618-11,115604154765,서울특별시 영등포구 영신로20길,14,,1156010100106180011036387,재가파크빌,서울특별시 영등포구 영신로20길 14,150899,07307,,1,,126.909181689398,37.5154071974471
MA010120220810494524,지에스25신대림초교점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560700,대림1동,1156013300,대림동,1156013300109720007,1,대지,972,7,서울특별시 영등포구 대림동 972-7,115604154194,서울특별시 영등포구 대림로8길,17,,1156013300109720007005594,낙원빌라,서울특별시 영등포구 대림로8길 17,150822,07438,,1,,126.905592571449,37.49119437082
MA0101202305A0057629,씨유영등포대림,본점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560710,대림2동,1156013300,대림동,1156013300109920021,1,대지,992,21,서울특별시 영등포구 대림동 992-21,115604154301,서울특별시 영등포구 도림천로21길,25,,1156013300109920021003855,명칭없음,서울특별시 영등포구 도림천로21길 25,150823,07446,B,1,,126.902521208006,37.487876169397
MA0101202305A0028136,씨유영등포,센터점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560630,신길1동,1156013200,신길동,1156013200104570001,1,대지,457,1,서울특별시 영등포구 신길동 457-1,115604154669,서울특별시 영등포구 여의대방로47길,17,,1156013200104570001018228,,서울특별시 영등포구 여의대방로47길 17,150853,07358,,1,,126.921970437223,37.5086858379034
MA0101202305A0047906,씨유에이스,중앙점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560610,양평1동,1156012700,양평동3가,1156012700100050004,1,대지,5,4,서울특별시 영등포구 양평동3가 5-4,115603005074,서울특별시 영등포구 선유로,130,,1156012700100050004022233,에이스하이테크시티,서울특별시 영등포구 선유로 130,150103,07255,,1,,126.891374592979,37.5253752720843
MA0101202305A0015410,씨유여의리첸시아점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100610000,1,대지,61,,서울특별시 영등포구 여의도동 61,115603118020,서울특별시 영등포구 여의동로,213,,1156011000100610000031688,금호리첸시아,서울특별시 영등포구 여의동로 213,150947,07345,,1,,126.939617841771,37.5185261298355
MA0101202305A0165253,지에스25신길파크자이,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560680,신길6동,1156013200,신길동,1156013200149670000,1,대지,4967,,서울특별시 영등포구 신길동 4967,115604154504,서울특별시 영등포구 신길로28길,25,,1156013200131630000007649,신길파크자이,서울특별시 영등포구 신길로28길 25,150056,07389,121,2,,126.913472442676,37.5023368433327
MA0101202305A0015916,지에스25신길경찰학원,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560690,신길7동,1156013200,신길동,1156013200113200000,1,대지,1320,,서울특별시 영등포구 신길동 1320,115603118022,서울특별시 영등포구 영등포로,412,1,1156013200113200000006036,,서울특별시 영등포구 영등포로 412-1,150855,07354,,1,,126.923719383515,37.5127595196051
MA0101202303A0010775,여의도한강,1호점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100860005,1,대지,86,5,서울특별시 영등포구 여의도동 86-5,115604859648,서울특별시 영등포구 한강남자전거길,1593,,1156011000100860005000001,,서울특별시 영등포구 한강남자전거길 1593,150897,07346,,,,126.940032699132,37.5231214555375
MA0101202303A0105163,세븐도림에코빌점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560585,도림동,1156011800,도림동,1156011800102410019,1,대지,241,19,서울특별시 영등포구 도림동 241-19,115604154218,서울특별시 영등포구 도림로113길,5,,1156011800102410019026055,,서울특별시 영등포구 도림로113길 5,150833,07374,,1,,126.899282218537,37.5085515411063
MA0101202303A0110586,여의도한강,2호점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100840004,1,대지,84,4,서울특별시 영등포구 여의도동 84-4,115603118020,서울특별시 영등포구 여의동로,343,,1156011000100080000031184,,서울특별시 영등포구 여의동로 343,150010,07336,,,,126.932868369841,37.5270820100231
MA0101202303A0064581,세븐양평우림센터점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560610,양평1동,1156012700,양평동3가,1156012700100160000,1,대지,16,,서울특별시 영등포구 양평동3가 16,115603118016,서울특별시 영등포구 양산로,43,,1156012700100160000037212,,서울특별시 영등포구 양산로 43,150946,07270,,1,,126.887946244117,37.52575949991
MA0101202305A0131839,지에스25당산뷰티풀,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560560,당산2동,1156011600,당산동6가,1156011600102830000,1,대지,283,,서울특별시 영등포구 당산동6가 283,115603118004,서울특별시 영등포구 당산로,246,,1156011600102830000000001,뷰티플타워,서울특별시 영등포구 당산로 246,150809,07223,,1,,126.903500513204,37.5352337448922
MA0101202305A0089033,씨유영등포문래S,타워점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560605,문래동,1156012100,문래동3가,1156012100100550018,1,대지,55,18,서울특별시 영등포구 문래동3가 55-18,115604154404,서울특별시 영등포구 문래로28길,25,,1156012100100550018000001,S타워,서울특별시 영등포구 문래로28길 25,150835,07298,S,,,126.899972992499,37.516390861659
MA0101202303A0057532,세븐일레븐도림에코빌점,,G2,소매,G204,종합 소매,G20405,편의점,G46103,섬유; 의복; 신발 및 가죽제품 중개업,11,서울특별시,11560,영등포구,11560585,도림동,1156011800,도림동,1156011800102410019,1,대지,241,19,서울특별시 영등포구 도림동 241-19,115604154218,서울특별시 영등포구 도림로113길,5,,1156011800102410019026055,,서울특별시 영등포구 도림로113길 5,150833,07374,,1,,126.899282218537,37.5085515411063
MA0101202305A0121133,씨유명지성모,병원점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560710,대림2동,1156013300,대림동,1156013300107030002,1,대지,703,2,서울특별시 영등포구 대림동 703-2,115604154151,서울특별시 영등포구 대림로23길,13,,1156013300107030002002453,,서울특별시 영등포구 대림로23길 13,150907,07419,,1,,126.89911041016,37.4933424196936
MA0101202310A0079329,지에스25강서타워,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560605,문래동,1156012400,문래동6가,1156012400100100000,1,대지,10,,서울특별시 영등포구 문래동6가 10,115603005074,서울특별시 영등포구 선유로,75,,1156012400100100000023280,GS강서타워,서울특별시 영등포구 선유로 75,150944,07280,,1,,126.88903960161,37.5208140305289
